2025-10-25 00:21:58,121 p=2920471 u=root n=ansible | PLAY [Bootstrap RedHat 8 nodes for RKE2 Airgap environment and Deploy RKE2] ****
2025-10-25 00:22:00,679 p=2920471 u=root n=ansible | TASK [Gathering Facts] *********************************************************
2025-10-25 00:22:00,680 p=2920471 u=root n=ansible | ok: [k8s-m1]
2025-10-25 00:22:00,725 p=2920471 u=root n=ansible | ok: [k8s-w02]
2025-10-25 00:22:00,740 p=2920471 u=root n=ansible | ok: [k8s-m2]
2025-10-25 00:22:00,815 p=2920471 u=root n=ansible | ok: [k8s-m3]
2025-10-25 00:22:01,084 p=2920471 u=root n=ansible | ok: [k8s-w01]
2025-10-25 00:22:03,303 p=2920471 u=root n=ansible | ok: [k8s-w03]
2025-10-25 00:22:03,507 p=2920471 u=root n=ansible | TASK [rke2-1.49.0 : Validating arguments against arg spec 'main' - This is the main entrypoint for the lablabs.rke2 role.] ***
2025-10-25 00:22:03,508 p=2920471 u=root n=ansible | ok: [k8s-m1]
2025-10-25 00:22:03,508 p=2920471 u=root n=ansible | ok: [k8s-m2]
2025-10-25 00:22:03,508 p=2920471 u=root n=ansible | ok: [k8s-m3]
2025-10-25 00:22:03,523 p=2920471 u=root n=ansible | ok: [k8s-w01]
2025-10-25 00:22:03,538 p=2920471 u=root n=ansible | ok: [k8s-w02]
2025-10-25 00:22:03,555 p=2920471 u=root n=ansible | ok: [k8s-w03]
2025-10-25 00:22:04,794 p=2920471 u=root n=ansible | TASK [rke2-1.49.0 : Set hostname based on inventory name] **********************
2025-10-25 00:22:04,794 p=2920471 u=root n=ansible | changed: [k8s-m2]
2025-10-25 00:22:04,799 p=2920471 u=root n=ansible | changed: [k8s-w01]
2025-10-25 00:22:04,801 p=2920471 u=root n=ansible | changed: [k8s-m1]
2025-10-25 00:22:04,804 p=2920471 u=root n=ansible | changed: [k8s-m3]
2025-10-25 00:22:04,852 p=2920471 u=root n=ansible | changed: [k8s-w02]
2025-10-25 00:22:05,592 p=2920471 u=root n=ansible | changed: [k8s-w03]
2025-10-25 00:22:05,822 p=2920471 u=root n=ansible | TASK [rke2-1.49.0 : Download and install RKE2 v1.34.1+rke2r1] ******************
2025-10-25 00:22:05,938 p=2920471 u=root n=ansible | included: /opt/git/ansible/roles/rke2-1.49.0/tasks/rke2.yml for k8s-m1, k8s-m2, k8s-m3, k8s-w01, k8s-w02, k8s-w03
2025-10-25 00:22:06,799 p=2920471 u=root n=ansible | TASK [rke2-1.49.0 : Create RKE2 artifacts folder] ******************************
2025-10-25 00:22:06,800 p=2920471 u=root n=ansible | changed: [k8s-m1]
2025-10-25 00:22:06,801 p=2920471 u=root n=ansible | changed: [k8s-w01]
2025-10-25 00:22:06,801 p=2920471 u=root n=ansible | changed: [k8s-m2]
2025-10-25 00:22:06,805 p=2920471 u=root n=ansible | changed: [k8s-m3]
